dataset,it,size,implementation,pearson,cut,ymin,lower,middle,upper,ymax
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,25,2.220446049250313e-16,0.37906566008622467,0.9494579608587732,1.6901693587164959,1.999999999995769
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,26,3.4402924953269576e-11,0.39453346591211785,0.9616750797539055,1.707984230624966,1.9999999999957752
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,27,2.0414114842992603e-11,0.41507465052601933,0.9816432001082602,1.727623703957587,1.9999999999984195
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,28,2.4091839634365897e-14,0.4342640000031843,1.0003523828950496,1.744146489394825,1.999999999995134
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,29,1.6341483721760142e-10,0.4556056017203489,1.024620889932822,1.756881067628198,1.9999999999939226
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,30,7.6199047072123e-12,0.47828832134641086,1.045806453124034,1.7672091189666437,1.9999999999999338
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,31,8.353762126489528e-12,0.4925623794110525,1.0609848531267645,1.7708931302284614,1.9999999999997704
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,32,1.0533796057643485e-12,0.5044873300895637,1.0753847135198593,1.772965584553618,1.9999999999989022
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,33,1.9650170379748033e-11,0.5136263586630495,1.088798910314584,1.7710774764425334,1.9999999999952731
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,34,5.617728504603292e-12,0.5191831360184429,1.1017416326126814,1.7675257665223931,1.9999999999995817
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,35,3.1184754778479373e-10,0.5217431670241981,1.1151732250090771,1.7634971479542887,1.9999999999990095
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,36,1.651700998195338e-11,0.5217148984157186,1.1214678030975533,1.7526881377147063,1.999999999997085
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,37,4.1359315972044897e-10,0.5228567944146901,1.1344899765068677,1.7462842973302046,1.999999999999802
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,38,1.5849432877246272e-11,0.5195549294559634,1.1479949218953305,1.7419683614140737,1.9999999999811535
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,39,5.96065419244951e-11,0.5135276828962658,1.1543837097458807,1.7338497578889303,1.999999999999897
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,40,4.444844492468292e-11,0.5027094498381304,1.1611047340700709,1.7295366396169314,1.9999999999989226
210129_raw_BALPBMC,1,523041,py,0.49439028876553914,41,3.0170643761096017e-11,0.49258073483868503,1.1684152292954602,1.72950253511098,1.9999999999991285
