dataset,it,size,implementation,step,t,clusters
subsample_it_1_size_250000,1,250000,py,FindVariableFeatures,69.579340602,21
subsample_it_1_size_250000,1,250000,py,ScaleData,6.297808398,21
subsample_it_1_size_250000,1,250000,py,RunPCA,60.3918372,21
subsample_it_1_size_250000,1,250000,py,FindNeighbors,36.488046709,21
subsample_it_1_size_250000,1,250000,py,FindClusters,113.227972714,21
subsample_it_1_size_250000,1,250000,py,RunUMAP,802.148822762,21
subsample_it_1_size_250000,1,250000,py,FindAllMarkers,6754.514098278,21
subsample_it_1_size_250000,1,250000,jl32_opt,CreateSeuratObject,19.435168176,25
subsample_it_1_size_250000,1,250000,jl32_opt,NormalizeData,11.675981302,25
subsample_it_1_size_250000,1,250000,jl32_opt,FindVariableFeatures,6.980508402,25
subsample_it_1_size_250000,1,250000,jl32_opt,ScaleData,1.508043616,25
subsample_it_1_size_250000,1,250000,jl32_opt,RunPCA,33.91623663,25
subsample_it_1_size_250000,1,250000,jl32_opt,FindNeighbors,12.427127314,25
subsample_it_1_size_250000,1,250000,jl32_opt,FindClusters,174.397861962,25
subsample_it_1_size_250000,1,250000,jl32_opt,RunUMAP,469.251644117,25
subsample_it_1_size_250000,1,250000,jl32_opt,FindAllMarkers,88.92848854,25
subsample_it_1_size_250000,1,250000,jl_opt,CreateSeuratObject,19.367473167,25
subsample_it_1_size_250000,1,250000,jl_opt,NormalizeData,13.926537839,25
subsample_it_1_size_250000,1,250000,jl_opt,FindVariableFeatures,6.995366323,25
subsample_it_1_size_250000,1,250000,jl_opt,ScaleData,1.821100651,25
subsample_it_1_size_250000,1,250000,jl_opt,RunPCA,40.723567863,25
subsample_it_1_size_250000,1,250000,jl_opt,FindNeighbors,14.300905829,25
subsample_it_1_size_250000,1,250000,jl_opt,FindClusters,155.332312671,25
subsample_it_1_size_250000,1,250000,jl_opt,RunUMAP,505.484806387,25
subsample_it_1_size_250000,1,250000,jl_opt,FindAllMarkers,94.226616994,25
subsample_it_1_size_3000,1,3000,R,CreateSeuratObject,0.736302586,13
subsample_it_1_size_3000,1,3000,R,NormalizeData,0.285243958,13
subsample_it_1_size_3000,1,3000,R,FindVariableFeatures,1.52805736,13
subsample_it_1_size_3000,1,3000,R,ScaleData,0.320548515,13
subsample_it_1_size_3000,1,3000,R,RunPCA,3.149237139,13
subsample_it_1_size_3000,1,3000,R,FindNeighbors,0.651789219,13
subsample_it_1_size_3000,1,3000,R,FindClusters,0.316301287,13
subsample_it_1_size_3000,1,3000,R,RunUMAP,11.921781569,13
subsample_it_1_size_3000,1,3000,R,FindAllMarkers,57.88953139,13
subsample_it_1_size_3000,1,3000,jl,CreateSeuratObject,0.106903165,11
subsample_it_1_size_3000,1,3000,jl,NormalizeData,0.127545794,11
subsample_it_1_size_3000,1,3000,jl,FindVariableFeatures,0.23455628,11
subsample_it_1_size_3000,1,3000,jl,ScaleData,0.013604952,11
subsample_it_1_size_3000,1,3000,jl,RunPCA,1.39194832,11
subsample_it_1_size_3000,1,3000,jl,FindNeighbors,0.079971209,11
subsample_it_1_size_3000,1,3000,jl,FindClusters,0.232255689,11
subsample_it_1_size_3000,1,3000,jl,RunUMAP,7.676912221,11
subsample_it_1_size_3000,1,3000,jl,FindAllMarkers,1.880784338,11
subsample_it_1_size_3000,1,3000,jl32,CreateSeuratObject,0.170796684,11
subsample_it_1_size_3000,1,3000,jl32,NormalizeData,0.126654036,11
subsample_it_1_size_3000,1,3000,jl32,FindVariableFeatures,0.249949732,11
subsample_it_1_size_3000,1,3000,jl32,ScaleData,0.013772167,11
subsample_it_1_size_3000,1,3000,jl32,RunPCA,0.861952311,11
subsample_it_1_size_3000,1,3000,jl32,FindNeighbors,0.080831564,11
subsample_it_1_size_3000,1,3000,jl32,FindClusters,0.280493946,11
subsample_it_1_size_3000,1,3000,jl32,RunUMAP,7.465151503,11
subsample_it_1_size_3000,1,3000,jl32,FindAllMarkers,1.837549238,11
subsample_it_1_size_3000,1,3000,py,CreateSeuratObject,0.173628842,9
subsample_it_1_size_3000,1,3000,py,NormalizeData,0.130415224,9
subsample_it_1_size_3000,1,3000,py,FindVariableFeatures,0.511086383,9
subsample_it_1_size_3000,1,3000,py,ScaleData,0.058925078,9
subsample_it_1_size_3000,1,3000,py,RunPCA,0.512310703,9
subsample_it_1_size_3000,1,3000,py,FindNeighbors,0.299252991,9
subsample_it_1_size_3000,1,3000,py,FindClusters,0.193524043,9
subsample_it_1_size_3000,1,3000,py,RunUMAP,12.5957698,9
subsample_it_1_size_3000,1,3000,py,FindAllMarkers,28.032286476,9
subsample_it_1_size_3000,1,3000,jl32_opt,CreateSeuratObject,0.633427316,12
subsample_it_1_size_3000,1,3000,jl32_opt,NormalizeData,0.089871883,12
subsample_it_1_size_3000,1,3000,jl32_opt,FindVariableFeatures,0.249929749,12
subsample_it_1_size_3000,1,3000,jl32_opt,ScaleData,0.011231315,12
subsample_it_1_size_3000,1,3000,jl32_opt,RunPCA,0.553001863,12
subsample_it_1_size_3000,1,3000,jl32_opt,FindNeighbors,0.059272246,12
subsample_it_1_size_3000,1,3000,jl32_opt,FindClusters,0.217000945,12
subsample_it_1_size_3000,1,3000,jl32_opt,RunUMAP,11.75008575,12
subsample_it_1_size_3000,1,3000,jl32_opt,FindAllMarkers,0.316392445,12
subsample_it_1_size_3000,1,3000,jl_opt,CreateSeuratObject,0.184972316,12
subsample_it_1_size_3000,1,3000,jl_opt,NormalizeData,0.153784569,12
subsample_it_1_size_3000,1,3000,jl_opt,FindVariableFeatures,0.272400409,12
subsample_it_1_size_3000,1,3000,jl_opt,ScaleData,0.012624347,12
subsample_it_1_size_3000,1,3000,jl_opt,RunPCA,0.537491397,12
subsample_it_1_size_3000,1,3000,jl_opt,FindNeighbors,0.063059031,12
subsample_it_1_size_3000,1,3000,jl_opt,FindClusters,0.242982938,12
subsample_it_1_size_3000,1,3000,jl_opt,RunUMAP,12.599148988,12
subsample_it_1_size_3000,1,3000,jl_opt,FindAllMarkers,2.518918958,12
