dataset,it,size,implementation,step,t,clusters
subsample_it_1_size_250000,1,250000,py,FindNeighbors,89.34234336,21
subsample_it_1_size_250000,1,250000,py,FindClusters,131.497638585,21
subsample_it_1_size_250000,1,250000,py,RunUMAP,821.092962897,21
subsample_it_1_size_250000,1,250000,py,FindAllMarkers,7118.853238528,21
subsample_it_1_size_250000,1,250000,jl32_opt,CreateSeuratObject,20.887648434,26
subsample_it_1_size_250000,1,250000,jl32_opt,NormalizeData,11.563012778,26
subsample_it_1_size_250000,1,250000,jl32_opt,FindVariableFeatures,6.894173831,26
subsample_it_1_size_250000,1,250000,jl32_opt,ScaleData,1.50887239,26
subsample_it_1_size_250000,1,250000,jl32_opt,RunPCA,34.158690083,26
subsample_it_1_size_250000,1,250000,jl32_opt,FindNeighbors,12.599193432,26
subsample_it_1_size_250000,1,250000,jl32_opt,FindClusters,139.699260243,26
subsample_it_1_size_250000,1,250000,jl32_opt,RunUMAP,467.50293229,26
subsample_it_1_size_250000,1,250000,jl32_opt,FindAllMarkers,94.083464563,26
subsample_it_1_size_250000,1,250000,jl_opt,CreateSeuratObject,19.550410208,26
subsample_it_1_size_250000,1,250000,jl_opt,NormalizeData,13.722457618,26
subsample_it_1_size_250000,1,250000,jl_opt,FindVariableFeatures,6.912298672,26
subsample_it_1_size_250000,1,250000,jl_opt,ScaleData,1.76616191,26
subsample_it_1_size_250000,1,250000,jl_opt,RunPCA,44.928536388,26
subsample_it_1_size_250000,1,250000,jl_opt,FindNeighbors,15.156215934,26
subsample_it_1_size_250000,1,250000,jl_opt,FindClusters,202.025320376,26
subsample_it_1_size_250000,1,250000,jl_opt,RunUMAP,499.911460901,26
subsample_it_1_size_250000,1,250000,jl_opt,FindAllMarkers,94.027885428,26
subsample_it_1_size_3000,1,3000,R,CreateSeuratObject,1.865111363,13
subsample_it_1_size_3000,1,3000,R,NormalizeData,0.782684499,13
subsample_it_1_size_3000,1,3000,R,FindVariableFeatures,1.570767187,13
subsample_it_1_size_3000,1,3000,R,ScaleData,0.381211874,13
subsample_it_1_size_3000,1,3000,R,RunPCA,2.871294763,13
subsample_it_1_size_3000,1,3000,R,FindNeighbors,0.834697931,13
subsample_it_1_size_3000,1,3000,R,FindClusters,0.301131327,13
subsample_it_1_size_3000,1,3000,R,RunUMAP,12.11186181,13
subsample_it_1_size_3000,1,3000,R,FindAllMarkers,62.756871929,13
subsample_it_1_size_3000,1,3000,jl,CreateSeuratObject,0.264657847,12
subsample_it_1_size_3000,1,3000,jl,NormalizeData,0.360248927,12
subsample_it_1_size_3000,1,3000,jl,FindVariableFeatures,0.264601875,12
subsample_it_1_size_3000,1,3000,jl,ScaleData,0.018717454,12
subsample_it_1_size_3000,1,3000,jl,RunPCA,2.935742634,12
subsample_it_1_size_3000,1,3000,jl,FindNeighbors,0.101563943,12
subsample_it_1_size_3000,1,3000,jl,FindClusters,0.234949796,12
subsample_it_1_size_3000,1,3000,jl,RunUMAP,7.633941976,12
subsample_it_1_size_3000,1,3000,jl,FindAllMarkers,2.198240694,12
subsample_it_1_size_3000,1,3000,jl32,CreateSeuratObject,0.177792161,13
subsample_it_1_size_3000,1,3000,jl32,NormalizeData,0.089153053,13
subsample_it_1_size_3000,1,3000,jl32,FindVariableFeatures,0.567970904,13
subsample_it_1_size_3000,1,3000,jl32,ScaleData,0.011372431,13
subsample_it_1_size_3000,1,3000,jl32,RunPCA,0.983524328,13
subsample_it_1_size_3000,1,3000,jl32,FindNeighbors,0.073780271,13
subsample_it_1_size_3000,1,3000,jl32,FindClusters,0.228730042,13
subsample_it_1_size_3000,1,3000,jl32,RunUMAP,7.159784057,13
subsample_it_1_size_3000,1,3000,jl32,FindAllMarkers,2.107010779,13
subsample_it_1_size_3000,1,3000,py,CreateSeuratObject,0.458534071,9
subsample_it_1_size_3000,1,3000,py,NormalizeData,0.220880018,9
subsample_it_1_size_3000,1,3000,py,FindVariableFeatures,1.167999963,9
subsample_it_1_size_3000,1,3000,py,ScaleData,0.116949204,9
subsample_it_1_size_3000,1,3000,py,RunPCA,0.834858086,9
subsample_it_1_size_3000,1,3000,py,FindNeighbors,23.265136417,9
subsample_it_1_size_3000,1,3000,py,FindClusters,0.225676325,9
subsample_it_1_size_3000,1,3000,py,RunUMAP,12.372536528,9
subsample_it_1_size_3000,1,3000,py,FindAllMarkers,30.446997753,9
subsample_it_1_size_3000,1,3000,jl32_opt,CreateSeuratObject,0.194036525,12
subsample_it_1_size_3000,1,3000,jl32_opt,NormalizeData,0.127755018,12
subsample_it_1_size_3000,1,3000,jl32_opt,FindVariableFeatures,0.310925955,12
subsample_it_1_size_3000,1,3000,jl32_opt,ScaleData,0.016394583,12
subsample_it_1_size_3000,1,3000,jl32_opt,RunPCA,2.366108547,12
subsample_it_1_size_3000,1,3000,jl32_opt,FindNeighbors,0.069472278,12
subsample_it_1_size_3000,1,3000,jl32_opt,FindClusters,0.213127682,12
subsample_it_1_size_3000,1,3000,jl32_opt,RunUMAP,11.896360111,12
subsample_it_1_size_3000,1,3000,jl32_opt,FindAllMarkers,0.32618942,12
subsample_it_1_size_3000,1,3000,jl_opt,CreateSeuratObject,0.200772253,13
subsample_it_1_size_3000,1,3000,jl_opt,NormalizeData,0.135459444,13
subsample_it_1_size_3000,1,3000,jl_opt,FindVariableFeatures,0.717023912,13
subsample_it_1_size_3000,1,3000,jl_opt,ScaleData,0.013229094,13
subsample_it_1_size_3000,1,3000,jl_opt,RunPCA,0.66543138,13
subsample_it_1_size_3000,1,3000,jl_opt,FindNeighbors,0.104599044,13
subsample_it_1_size_3000,1,3000,jl_opt,FindClusters,0.30520855,13
subsample_it_1_size_3000,1,3000,jl_opt,RunUMAP,12.581359972,13
subsample_it_1_size_3000,1,3000,jl_opt,FindAllMarkers,0.326020047,13
